SECURITY_ID,INSTRUMENT,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE
35022,OPTIDX,NIFTY,NIFTY-Jul2026-29300-CE,NIFTY 28 JUL 29300 CALL,65.0,2026-07-28,29300.0,CE
35023,OPTIDX,NIFTY,NIFTY-Jul2026-29300-PE,NIFTY 28 JUL 29300 PUT,65.0,2026-07-28,29300.0,PE
35040,OPTIDX,NIFTY,NIFTY-Jul2026-29350-CE,NIFTY 28 JUL 29350 CALL,65.0,2026-07-28,29350.0,CE
35041,OPTIDX,NIFTY,NIFTY-Jul2026-29350-PE,NIFTY 28 JUL 29350 PUT,65.0,2026-07-28,29350.0,PE
35056,OPTIDX,NIFTY,NIFTY-Jul2026-29400-CE,NIFTY 28 JUL 29400 CALL,65.0,2026-07-28,29400.0,CE
35057,OPTIDX,NIFTY,NIFTY-Jul2026-29400-PE,NIFTY 28 JUL 29400 PUT,65.0,2026-07-28,29400.0,PE
35058,OPTIDX,NIFTY,NIFTY-Jul2026-29450-CE,NIFTY 28 JUL 29450 CALL,65.0,2026-07-28,29450.0,CE
35059,OPTIDX,NIFTY,NIFTY-Jul2026-29450-PE,NIFTY 28 JUL 29450 PUT,65.0,2026-07-28,29450.0,PE
35084,OPTIDX,NIFTY,NIFTY-Sep2026-29150-CE,NIFTY 29 SEP 29150 CALL,65.0,2026-09-29,29150.0,CE
35085,OPTIDX,NIFTY,NIFTY-Sep2026-29150-PE,NIFTY 29 SEP 29150 PUT,65.0,2026-09-29,29150.0,PE
35086,OPTIDX,NIFTY,NIFTY-Sep2026-29200-CE,NIFTY 29 SEP 29200 CALL,65.0,2026-09-29,29200.0,CE
35087,OPTIDX,NIFTY,NIFTY-Sep2026-29200-PE,NIFTY 29 SEP 29200 PUT,65.0,2026-09-29,29200.0,PE
35094,OPTIDX,NIFTY,NIFTY-Sep2026-29250-CE,NIFTY 29 SEP 29250 CALL,65.0,2026-09-29,29250.0,CE
35095,OPTIDX,NIFTY,NIFTY-Sep2026-29250-PE,NIFTY 29 SEP 29250 PUT,65.0,2026-09-29,29250.0,PE
35235,OPTIDX,NIFTY,NIFTY-Dec2026-30000-CE,NIFTY 29 DEC 30000 CALL,65.0,2026-12-29,30000.0,CE
35237,OPTIDX,NIFTY,NIFTY-Dec2026-30000-PE,NIFTY 29 DEC 30000 PUT,65.0,2026-12-29,30000.0,PE
35262,OPTIDX,NIFTY,NIFTY-Jun2027-30000-CE,NIFTY 29 JUN 30000 CALL,65.0,2027-06-29,30000.0,CE
35263,OPTIDX,NIFTY,NIFTY-Jun2027-30000-PE,NIFTY 29 JUN 30000 PUT,65.0,2027-06-29,30000.0,PE
35346,OPTIDX,NIFTY,NIFTY-Dec2027-30000-CE,NIFTY 28 DEC 30000 CALL,65.0,2027-12-28,30000.0,CE
35347,OPTIDX,NIFTY,NIFTY-Dec2027-30000-PE,NIFTY 28 DEC 30000 PUT,65.0,2027-12-28,30000.0,PE
35352,OPTIDX,NIFTY,NIFTY-Jun2028-30000-CE,NIFTY 27 JUN 30000 CALL,65.0,2028-06-27,30000.0,CE
35353,OPTIDX,NIFTY,NIFTY-Jun2028-30000-PE,NIFTY 27 JUN 30000 PUT,65.0,2028-06-27,30000.0,PE
35404,OPTIDX,NIFTY,NIFTY-Aug2026-29350-CE,NIFTY 18 AUG 29350 CALL,65.0,2026-08-18,29350.0,CE
35405,OPTIDX,NIFTY,NIFTY-Aug2026-29350-PE,NIFTY 18 AUG 29350 PUT,65.0,2026-08-18,29350.0,PE
